Анастасія, JLxYhlY28qo
Олег, O4GMBFKMKAk
Дмитро, fmcfMYlZabA
Владислав, ubfy1xgc0ss
Василь, Hvtrfup8ALk
Микола, aQ5AboZhhQ0
Віка, KyF8VoeeDYs
Тарас, P3Dqff8KwB0
Андрій, prlXp12DfRs
Данило, K76K1NzHuxI
Ростислав, NwICF0mKD5s
Ірина, ww0ZLA-dge8
Василь, WbGN0pYwDCQ
Юрій, 4I3D3dht1-M
Богдан, dODeoZOVZ74
Максим, 59a_mJL2vaM
Марян, _DAfbrO4VWo
Роман, Uhl0vMMDq3I
Настя, DscuhtWD5r0
Віталій, DGtM-cltaPQ
Оксана, zlffWsAbdp8
Дмитро, z_x4bKvWO4s
Влад, ffgkS4JWxSk
Альона, G5vIO592Rcg
Влад, v9T8OSBRp2I
Микола, Nk8vnTgHe58
Андрій, TCd4_0EdKdI
Святослав, KoZnn_SOEg4
Олексій, WSok8LhSz1E
Денис, NluEJ5XXJD8
Максим, r3X4Dr7dIo4
Святослав, tv0zlyUNCIM
Роман, BkW0OxUSq5M
Андрій, MZ7MIG92UvU
Сергій, 9yIukRNSwvU
Олег, q1Rw1vBblUo
Андрій, Je3RuNy2yas
Олексій, rfSWtltRgKA
Наталя, Thj461XTZlQ
Степан, 1i-W-jDQaVk
Алік, 7XX94HE1VUE
Наталія, AlDWNkMBv8o
Роман, N5s4APC_KnQ
Андрій, xRdv7HSg_UQ
Максим, OsHPTLxlmTA
Сергій, 2weSEPfHSWs
Тарас, yZi6SIJ_Tyk
Степан, IczWgKyuryY
Кирило, gpb7cAEaFs0
Микола, jZv7tZ6khsM
Роман, vFmeEMrm0AA
Юрій, QFPIHxSqBOM
Людмила, 5klQQbBoiuY
Василь, jFQ_Hoqkxj0
Юрій, kvIIPfpGpHs
ІТ реаліті Кирило, s5fh9k7iE0M
Денис, C-k4wirjhCQ
Юра, fa6jQHkKuT4
ІТ реаліті Станіслав, EX5vaMyBEys
ІТ реаліті Ярослав, l_KNCfHULR0
ІТ реаліті Іра, xZ9ZC-qVX9I
ІТ реаліті Олександр, Xq39AkGW-WU
ІТ реаліті Тарас, PN2mp-Wem_c
Станіслав, NCE1xpPKG3w
Ірина, JLtPcCMGAtQ
Ярослав, qwsKbk8nLHQ
Олександр, UMy4MerNM5g
Тарас, ejLtKWbETPs
Олег, IGhOSmVDNbg
Данило, Y1xv-hwcqP0
Роман, cKXzJDr_gKs
ІТ реаліті Святослав, lgFSsEOmjTU
Володимир, 94PJ1r85bpI
Назар, rQhS-75jtWA
Максим, 4TnuUP3zDuU
Христина, 3Lr1nQXyuis
Тарас, hUDGEWoW1QY
Ярослав, rOQxkc2-oEg
Юрій, iZECwyg_xYA
Володимир, vqtOOin__Ew
Владислав, Eck3PZgAZL0
Володимир, U4LdR7qJHd8
Андрій, M7_XW_KK4jk
Микола, ezO9PkuYZrw
Маркіян, 0o6HPmtMiZ0
Іван, liDoCXRQ4vo
Матвій, Whcs0RY4HhQ
Остап, LPhAQMObZIs
Володимир, HM7xtZ96OU0
Віталій, zpvhOJSUZ4E
Максим, GG74csAEICs
Денис, l2RT4AN_-aw
Роман, vMGYfDIA5pY
Група june-2021, MjzdDlAM8TE
Олена, 2LJuU68rpro
Іван, 5oHfybTBV_0
Тетяна, _qoq5_nVzY8
Михайло, b7YmVBgJShw
Анатолій, rWW2CvYnpkM
Марія, _ESHgSDu5m4
Микола, FzFgXgJsVCI
Богдан, aKQ2RvrZClg
Євген, 22RG2oIcl0E
Володимир, F0hrFyOxlEQ
Наталя, FONkwzMS1eU
Степан, tebiFx3vU5E
Олег, H29iONI9C0w
Настя, 1vSbyccTrkE
Назар, hECUTCZD20s
Андрій, N9IOOABLLoU
Анна, A6se6smUQcE
Юрій, Vdem4c_bnZs
Юрій, AvyvfXdWJVw
Богдан, uBiKAZoHpbE
Ольга, GR7FJRqUMeA
Саша, GF8V119xokE
Наталя, WR-8ivNBh1o
Назар, -jHVE4D0U3Y
ІТ-реаліті Анна, _FzQj3qC5d8
Сергій, 3veBrLDYf6w
ІТ-реаліті Наталя, Bw004qBM1Ko
ІТ-реаліті Андрій, fpKQrI2wZgw
Андрій, 3c3pwaZdceY
Володя, Hf7iTW8W-u8
ІТ-реаліті Богдан, BC4GdcMftA0
Маша, whGWvEaveRU
Андрій, Qo7mpulL6ns
Анна, hDHsbEq4nGU
Антон, gAiBbDAVzZg
Андрій, loZS0OBB5zM
Влад, arOXDU7Sris
Наталя, 4oHHVt986Ws
Олександр, k8gR9S2f8Qo
Орест, AnIUaFM4VKI
Олег, 8qIPEHIKBVE
Леонтій, U1W2oCr6Y1Q
Олексій, UKDP0JXJCx8
Вікторія, b6-fCsZizDw
Данило, D2P91N53vfg
Сергій, -yDV63EYwtI
Олег, 7bmHU0S8ZLY
Роман, o464AN-uuaQ
Сергій, GGIUqNx2AxM
Тетяна, sTONTHxA2OI
Роман, Z88iKXHGM7g
Максим, K6Q7_0CbPsQ
Мар'яна, pkd9O3MYHFw
ІТ-реаліті Володимир, BO-ngSrvm5M
Іван, JlcCX8VPsfM
Олег, AL3aCqvzLeE
Ольга, DAxaE8WsDrI
Ольга, SJzkNkX0akg
Євген, cKjDb740cLM
Дарія, fyZHHJV_5-I
ІТ-реаліті Олег, j97Hz9UxCP8
Дмитро, URafHonpIu0
Тарас, VCt6mSLtngk
Назар, xyKpGFSSKhM
Дмитро, Xihx-SiVbHA
Назар, mnn-6DpxYJ8
Альона, mY2QnBpv_m8
Олена, rxjmCPF4Cao
Юрій, YXcL7SXdqwQ
Іван, 2XPzLSfl0TE
Микола, FtqGDISj9YY
Олександр, Zly0LYvjPog
Костянтин, 6wyI9S1B-As
Максим, TwVf0NgXi4Q
Назар, N81KxmpMHrw
Тарас, ezjElBVSUu8
Тарас, 0gzHEMzCIqU
Олег, 3U__h5N7j-A
Джихангір, IS3ygNsZeI8
Максим, ChU3TCQ7rIE
Діана, deOKGq6qUmg
Олександр, 5A_c2yknSfE
Михайло, YFvIvqsQ_7M
Богдан, BBFMfymPvsk
Юрій, Ko16cOewZXM
Павло, b8YSUBN8iis
Олександр, lTvg9rdw4oo
Тарас, N5XRoxGuuw8
Анна, 2Tg0G9usHhk
Микола, 5olhEGCEG3I
Юлія, OhAzrJOpnuU
Мар'ян, Ft0E6dCPQ7c
Ірина, 06zCTHFzOgU
Ростислав, RK_JiLVdpSU
Святослав, cOzM4-DWsBE
Олександр, yFLUp69v3OY
Ярослав, sjGwyBIwduU
Максим, fy315aS5Ny0
Ростислав, z7yzpG4KJmw
Інеса, cVWLSxGHuPs
Микола, 7ghyN0inqUk
Мар'яна, LO19fRylzOU
Степан, rMB_3KC24RM
Андрій, 8o7qadPrrJQ
Відгук від групи, -4KJgHhWz8Y
Владислав, qzzXUnFglCo
Микола, ApOSZwHwY_I
Максим, 9j0aODR3JXY
Василь, _u8ChiiScxs
Остап, _rP7QpnrF6E
Роман, 7SKctcZaxZ0
Юра, ocp8gokWqr8
Юрій, _olYd_CFrOc
Юрій, g8IZfYlM09M
Іван, ZzHdzJZBCgw
Ігор, AbFXm2qojRs
Андрій, oa8S_ZWAqWQ
Антон, wdmNNUtWN-0
Ліза, vc8HhMedlBw
Богдан, 0sHqVo1OXyE
Андрій, jxx3TPspppQ
Іван, bFF-FCOtC5Q
Назар, LRIWWJ_fVcU
Василина, pQpVEmOsasc
Влад, RvnOklIpZ74
Денис, SwbAyo5Zoak
Віка, YgixAn2ehgI
Юрій, wSDB8jtu8lA
Тарас, DUuETlw7lRs
Влад, zqkZZqq0m10
Роман, Y1p1QNmC0oM
Надія, ozMvQn_UDO0
Дмитро, ETLDTlnkL_I
Каріна, uMqlhTFzqSc
Наталія, tXL-aFhQc_I
Олександр, cNer7qPgDt4
Сергій, Ky7KazEPJSw
Світлана, PIi5vtdDF-8
Наталя, 5BU5WsNm-DU
Руслана, kKrTKeVBswg
Микита, z2kXLkhmZQk
Олег, TlrlINeUIzo
Сергій, AIC3hHO964c
Дарія, 0hTxTj22s_U
Костянтин, kECDj1n5geg
Зеновій, up6Phq4VopU
Ігор, FalaaRIs9-k
Ігор, CaXHJ6MRAOc
Андрій, ks6n_KnQDiE
Ігор, b_kaz_yzEkY
Святослав, 8-p0SO-dxn4
Роман, pIpYQaXwhs0
Наталя, uPS13xTRQ_8
Юрій, 6tYy5y90jJo
Юра, Sq36nwZ5xbc
Роман, YvtG-gZyVuE
Ігор, fII_yQhr7GA
Юрій, PGWyz4493do
Влад, GhJCr-A6MtM
Ігор, X8gRuaJv6RU
Роман, JeLClMo-LMM
Володя, bJAdjPQvHck
Тарас, 5vpT2BM0oYI
Валентин, Xhav5KhX2lA
Діма, NOPbhw4Ndgg
Ярослав, dMpHPseli1s
Василь, 96xwpeVEafQ
Микола, DhzTYq-zN_0
Марян, HWZpT7eFxtI
Віталій, durWcnz6WdI
Володя, 48KnrCvP5u4
Іван, wrv_aJjLkZ4
Лев, nyTc9nxL_y0
Лєна, S0yUn9NDQCI
Павло, mg56GXj_OQw
Андрій, FXHrE2vNkFE
Регіна, nfio9gxYy-k
Таня, S-XKFGQMYPk
Тарас, cmVA4jYGO80
Назар, WjKltCGoExk
Юра, 7eL7IkQ80N4
Андрій, CT86WPWGOu8
Христина, VbXAxQb_KIM
Ігор, kvW94O_4MBs
Андрій, CDkfCMhfsmc
Богдан, JgVqQfx62dY
Віктор, -DdaLB_jEc4
Віталій, gwhPvvkLc2c
Віталік, 6_kP-71C_Y4
Денис, ylAbsp65LUU
Дмитро, 6KFNTuYwj38
Дмитро, t1-09udxwRA
Наталя, DZ6Xo53Dn3o
Наталя, S7Ep3dXXFkg
Юля, AHX2lwPVxzs
Юра, dqDgdzU2kd8
Ірина, xYJz98mvWMo
Артем, JNZ7A8LfOxM
Олег, Fp67b3qRynI
Ростислав, 282MK6894r8
Андрій, GaBX43HsMp8
Сергій, U-DCny0HRiA
Юрій, VN9Pk4vI4Kg
Назар, 0wLCrqWK-TE
Денис, 9dw1ErjVuKw
Василь, Dz3bOJZ9R6g
Володя, nn1rEj596nM
Андрій, eLnngSyEM6o
Діана, _nLuo0gwI5U
Володя, kgoB9Hr8lec
Назар, LJYP8Ssbk2Q
Роман, EkdfA6xCFmo
Юрій, 58q0pszX_T0
Петро, XvYTjcr4vjE
Яків, jz79p5rZS_8
Роман, 4jyCcqJqhFk
Уляна, 4bM33_Z0m7s
Сергій, qjF2T_75w1I
Віктор, 8THOBODxybw
Слава, Zyfq1Enr-NM
Роман, A6uv4ZjpPk8
Андрій, ZNUv1zsJbqo
Оля, f2mdodQM3KM
Тарас, 6Um4aUCMaHs
Роман, UIXWQ3Mwm_s
Влад, UDPPCA9WpP8
Влад, 2r6YbPR_N68
Максим, ppDFCirIiRI
Олег, 8uHYVA26rZ8
Олексій, 1FByjRMRwL0
Макс, DR6AsISCKOc
Павло, OWKABk8ZUxU
Назарій, 1WYEunta9LU
Міша, W8RK0mGHSxs
Руслан, PF13OcV43iw
Іван, x7Xf28oAUHw
Руслан, joD0DpxAw2g
Петро, Lu2TQnk9BL8
Олексій, IHMXIuqouMU
Роман, TIvjIdyq5wk
Наталія, qSngMcOuU8I
Микита, yDBVQgudyP8
Тарас, b15mPtlqCKQ
Олександр, wtXdK-gQ_2c
Павло, TYyF4GuSI-c
Настя, xcEYfM4AjYo
Олег, B2gZXhEqSX0
Петро, c7dmsNvDrPc
Іван, xNtcR6eUMZw
Андрій, Gqwd8Uagrt8
Олена, qenCu3_xyLQ
Олена, 8hcyFpXp1OI
Іван, yTVe8FOqHaE
Любомир, _o1qJzBgCNo
Віталій, 6kagIhGmlZc
Микола, 6ucQ6eHcZks
Тарас, 0FXxSK1WmS8
Соломія, c_kX4sGDQTA
Тарас, Om5jNwkMBLU
Андрій, gQdS9q4x_uM
Олег, GXn18Az1LGE
Іван, FB2jA545Oys
Андрій, DNvIIXSeZG4
Роман, 8rtv42urLkM
Олег, YSFyeCeAouw
Андрій, h6fM3sFDw_Q
Олег, sDFmAVoS594
Остап, 9qRJSqqmFq0
Андрій, c_DfifMt4wU
Назар, 9XKJuY6J7ag
Володимир, 46j5PO45KAY
Ірина, v1QsNedRMQU
Наталія, Tdk4W1kqwmU
Вадим, dU5kK7axCK8
Назар, yWMqvYQ0fn0
Сергій, t5b4AlkKOH0
Юрій, tZzwgKd97hM
Ілля, AMylCrenHko
Андрій, XIH2CAysHNE
Нікіта, MO_eBnbY3VU
Андрій, BVsr1vShvac
Катя, GTjkgQi3UDY
Ігор, MwCXrIYsbw4
Сергій, 69FYuOoDQJc
Юрій, gEVE-VcC2fc
Іван, Curu5yna840
Максим, Xyg96cBH1bs
Роман, MD2HA9bVtVY
Ростислав, hbgfV0rQi-I
Назар, WCaemr4mGzQ
Кирило, wDJnf0afsAc
